id,nickanme,score,birthdate,email
1,Kristina,14806,1984-06-23,Kristina.Hutchison@mail.com
2,Katharina,87237,1987-10-28,Katharina.Hebner@mail.com
3,Berta,54568,1991-12-27,Berta.Standing@mail.com
4,Meriel,37956,1962-04-10,Meriel.Gino@mail.com
5,Clarice,71936,1974-05-16,Clarice.Goddard@mail.com
6,Sabina,19486,2000-06-11,Sabina.Noelyn@mail.com
7,Arabel,75982,1997-05-07,Arabel.Zina@mail.com
8,Adriana,71648,1995-01-29,Adriana.Phyllis@mail.com
9,Marsiella,94871,1982-11-02,Marsiella.Eckblad@mail.com
10,Annora,14582,1982-06-29,Annora.Zenas@mail.com
11,Karlee,61552,2004-12-05,Karlee.Skurnik@mail.com
12,Rebeca,14469,1963-06-07,Rebeca.Knowling@mail.com
13,Mureil,65871,1972-06-18,Mureil.Eldrid@mail.com
14,Amelia,25487,2001-07-23,Amelia.Xerxes@mail.com
15,Orsola,74159,1990-04-22,Orsola.Brunell@mail.com
16,Melanie,25896,1970-01-01,Melanie.Hewitt@mail.com
17,Elmira,36547,1988-04-14,Elmira.Heidt@mail.com
18,Mariele,25648,2003-03-21,Mariele.Bultman@mail.com
19,Lolita,12648,2001-01-27,Lolita.Magdalen@mail.com
20,Karena,47592,1976-12-20,Karena.Codding@mail.com
